db_identifier,file_ext,file_name,file_dir,file_path
1c98cde648fb824a9115bff0f470a969,.accdb,A2009.34F Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34F, NYSM 12177\Phase I","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34F, NYSM 12177\Phase I\A2009.34F Ph I Artifact Database.accdb"
ff6bbb9470a92b52c8a53387a77f5a2b,.accdb,A2009.34F Ph II Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34F, NYSM 12177\Phase II","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34F, NYSM 12177\Phase II\A2009.34F Ph II Artifact Database.accdb"
e75fe6dbacebb3840fe10ec80c333cc8,.accdb,A2009.34G Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34G, NYSM 12180\Phase I","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34G, NYSM 12180\Phase I\A2009.34G Ph I Artifact Database.accdb"
5dc3af4b0a839f8be36fbb1094b44f2d,.accdb,A2009.34G Ph II Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34G, NYSM 12180\Phase II","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34G, NYSM 12180\Phase II\A2009.34G Ph II Artifact Database.accdb"
cda578d4d8cd98e9db84c6922faee651,.accdb,A2009.34H Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34H, NYSM 12181\Phase I","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34H, NYSM 12181\Phase I\A2009.34H Ph I Artifact Database.accdb"
c6f7fde563dc91b2ebfc36857c6b537d,.accdb,A2009.34H Ph II Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34H, NYSM 12181\Phase II","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34H, NYSM 12181\Phase II\A2009.34H Ph II Artifact Database.accdb"
5f13e57ca164b3e99c3e3a734d146532,.accdb,A2009.34J Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34J, NYSM 12185\Phase I","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34J, NYSM 12185\Phase I\A2009.34J Ph I Artifact Database.accdb"
d4e1d202c11709f4de38aba34c880600,.accdb,A2009.34J Ph II Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34J, NYSM 12185\Phase II","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34J, NYSM 12185\Phase II\A2009.34J Ph II Artifact Database.accdb"
90267c619ed9e889aff271ccc37008dd,.accdb,A2009.34K Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34K, NYSM 12190","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34K, NYSM 12190\A2009.34K Ph I Artifact Database.accdb"
7f0934022263756b737e5f692ba493f9,.accdb,A2009.34L Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34L, NYSM 12191\Phase I","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34L, NYSM 12191\Phase I\A2009.34L Ph I Artifact Database.accdb"
dac34d9d48ad33eb60552627bb5e34dd,.accdb,A2009.34L Ph II Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34L, NYSM 12191\Phase II","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34L, NYSM 12191\Phase II\A2009.34L Ph II Artifact Database.accdb"
96ed81bee66ff2266742ee7e20fbe08b,.accdb,A2009.34M Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34M, NYSM 12192\Phase I","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34M, NYSM 12192\Phase I\A2009.34M Ph I Artifact Database.accdb"
e652e6de961d42d628f745ecbfbb5f95,.accdb,A2009.34M Ph II Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34M, NYSM 12192\Phase II","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34M, NYSM 12192\Phase II\A2009.34M Ph II Artifact Database.accdb"
ca0e070e638b767aae0956ab3c26526d,.accdb,A2009.34N Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34N, NYSM 12152","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34N, NYSM 12152\A2009.34N Ph I Artifact Database.accdb"
462f75b08e5d5d205422f3ea14a19648,.accdb,A2009.34P Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34P, NYSM 12153","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34P, NYSM 12153\A2009.34P Ph I Artifact Database.accdb"
8259049556381da9c84c53161fdcf7d2,.accdb,A2009.34Q Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34Q, NYSM 12154","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34Q, NYSM 12154\A2009.34Q Ph I Artifact Database.accdb"
9c4283a19d32ae195ad028ab88c533cb,.accdb,A2009.34R Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34R, NYSM 12155","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34R, NYSM 12155\A2009.34R Ph I Artifact Database.accdb"
66c0510ab44439f1a54b0d8555811c0e,.accdb,A2009.34S Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34S, NYSM 12157","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34S, NYSM 12157\A2009.34S Ph I Artifact Database.accdb"
7ed97d3bb09a63a36db6d8c0d9b38cb3,.accdb,A2009.34T Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34T, NYSM 12158","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34T, NYSM 12158\A2009.34T Ph I Artifact Database.accdb"
fc0eecb851804bc9e60c583d91fb7cbb,.accdb,A2009.34U Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34U, NYSM 12160","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34U, NYSM 12160\A2009.34U Ph I Artifact Database.accdb"
6ad3eea65676b6c692fdaf39f505188d,.accdb,A2009.34V Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34V, NYSM 12161","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34V, NYSM 12161\A2009.34V Ph I Artifact Database.accdb"
4f346ac6d076882130aa6a6b36d016e3,.accdb,A2009.34W Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34W, NYSM 12162","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34W, NYSM 12162\A2009.34W Ph I Artifact Database.accdb"
0ed8d77cb6bce30fa0f0fca5d80fd5ba,.accdb,A2009.34X Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34X, NYSM 12163","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34X, NYSM 12163\A2009.34X Ph I Artifact Database.accdb"
0c261b72bdf7f0f4b6a728847a1892ed,.accdb,A2009.34Y Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34Y, NYSM 12164","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34Y, NYSM 12164\A2009.34Y Ph I Artifact Database.accdb"
66ee488c89e934294c3c2fd99545d078,.accdb,A2009.34Z Ph I Artifact Database.accdb,"X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34Z, NYSM 12169","X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\A2009.34Z, NYSM 12169\A2009.34Z Ph I Artifact Database.accdb"
8c5be67035e1e0e9141fad97d675c277,.accdb,DOT_Utica_4001-41.accdb,X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\Faunal Analysis,X:\CRSP Databases\A2009.34 Utica N-S Arterial\A2009.34 [1of3] (D)\Faunal Analysis\DOT_Utica_4001-41.accdb
476817462cf63b64fe6518726bb491bb,.accdb,Canal Corp 4-Glenville 10-99 (UPDATE).accdb,X:\CRSP Databases\Canal Corp\Pre-2010 Databases,X:\CRSP Databases\Canal Corp\Pre-2010 Databases\Canal Corp 4-Glenville 10-99 (UPDATE).accdb
1abbcbe86202dba39843b4031ead24b8,.accdb,Canal Corp1-Palmyra-9-99 (UPDATE).accdb,X:\CRSP Databases\Canal Corp\Pre-2010 Databases,X:\CRSP Databases\Canal Corp\Pre-2010 Databases\Canal Corp1-Palmyra-9-99 (UPDATE).accdb
521df7443021bf6aed8c3c0c63eb5bb6,.accdb,Canal Corp3-Lysander-9-99 (UPDATE).accdb,X:\CRSP Databases\Canal Corp\Pre-2010 Databases,X:\CRSP Databases\Canal Corp\Pre-2010 Databases\Canal Corp3-Lysander-9-99 (UPDATE).accdb
